"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"14","2019-12-28 21:14:08 +1000",5.10799980163574,"Austrochaperina robusta","2019-12-28",1,"None selected","None selected","Tablelands (R)","QLD",4474,-17.25,145.75,2019-12-28 06:44:39,2019-12-28 19:54:20,13.1613888888889,2019-12-28 06:44:43,2019-12-28 19:53:55,13.1533333333333,0.0388716956370181,0.0631715425024756,1,"2019_362",362,2019,22.7075004577637,2019-12-28,12,38.2375011444092,11.772500038147,0,0,0
"15","2020-01-03 22:34:38 +1000",65,"Austrochaperina robusta","2020-01-03",1,"No visible water bodies","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2020-01-03 06:48:04,2020-01-03 19:56:32,13.1411111111111,2020-01-03 06:48:08,2020-01-03 19:56:07,13.1330555555556,0.48729163155061,0.245954365018416,1,"2020_3",3,2020,14.4700000286102,2020-01-03,1,39.3174991607666,6.47250008583069,0,0,0.100000001490116
"16","2019-12-29 19:43:12 +1000",10,"Austrochaperina robusta","2019-12-29",2,"No visible water bodies","Rural","Tablelands (R)","QLD",4473,-17.75,145.75,2019-12-29 06:45:19,2019-12-29 19:55:41,13.1727777777778,2019-12-29 06:44:18,2019-12-29 19:55:18,13.1833333333333,0.0864452829376721,0.0949918279716043,1,"2019_363",363,2019,22.4550002415975,2019-12-29,12,43.5133330027262,9.30999994277954,0.100000001490116,0.100000001490116,0.100000001490116
"17","2020-01-10 21:06:24 +1000",5,"Austrochaperina robusta","2020-01-10",2,"No visible water bodies","Backyard/Suburbia","Townsville (C)","QLD",4538,-19.25,146.25,2020-01-10 06:47:18,2020-01-10 19:59:20,13.2005555555556,2020-01-10 06:46:42,2020-01-10 19:59:37,13.2152777777778,0.990816935760096,0.469450023509462,1,"2020_10",10,2020,11.4833335876465,2020-01-10,1,30.3933334350586,10.8766667048136,0,0,0.899999996026281
"18","2020-01-24 23:50:02 +1000",64,"Austrochaperina robusta","2020-01-25",2,"No visible water bodies","Rural","Tablelands (R)","QLD",4474,-17.25,145.75,2020-01-25 07:01:36,2020-01-25 19:59:07,12.9586111111111,2020-01-25 07:01:40,2020-01-25 19:58:46,12.9516666666667,0.000930196061996791,0.00970967577946819,1,"2020_25",25,2020,12.6500000953674,2020-01-25,1,30.727499961853,15.2799999713898,0,7.5499999076128,25.6499997898936
"19","2020-01-24 23:55:49 +1000",48,"Austrochaperina robusta","2020-01-25",2,"No visible water bodies","Rural","Tablelands (R)","QLD",4474,-17.25,145.75,2020-01-25 07:01:36,2020-01-25 19:59:07,12.9586111111111,2020-01-25 07:01:40,2020-01-25 19:58:46,12.9516666666667,0.000930196061996791,0.00970967577946819,1,"2020_25",25,2020,12.6500000953674,2020-01-25,1,30.727499961853,15.2799999713898,0,7.5499999076128,25.6499997898936
"20","2020-02-01 20:49:29 +1000",4.87099981307983,"Austrochaperina robusta","2020-02-01",1,"Stream or creek","Natural area","Tablelands (R)","QLD",4406,-17.25,145.25,2020-02-01 07:06:29,2020-02-01 19:58:57,12.8744444444444,2020-02-01 07:07:41,2020-02-01 19:59:39,12.8661111111111,0.406951860614473,0.220208181819634,1,"2020_32",32,2020,8.3133331934611,2020-02-01,2,24.363333384196,13.1466665267944,0,0.233333339293836,2.13333329310024
"21","2020-02-26 20:15:36 +1000",62.1969985961914,"Austrochaperina robusta","2020-02-26",2,"None selected","Natural area","Cassowary Coast (R)","QLD",4473,-17.75,145.75,2020-02-26 07:16:34,2020-02-26 19:46:55,12.5058333333333,2020-02-26 07:16:16,2020-02-26 19:46:51,12.5097222222222,0.0553421191193684,0.0755905795492089,1,"2020_57",57,2020,14.6749998728434,2020-02-26,2,26.3283332188924,8.15499989191691,0.100000001490116,0.200000002980232,0.350000005215406
"22","2020-03-08 23:47:01 +1000",42.0250015258789,"Austrochaperina robusta","2020-03-09",1,"Small pond","Natural area","Tablelands (R)","QLD",4474,-17.25,145.75,2020-03-09 07:20:40,2020-03-09 19:38:59,12.3052777777778,2020-03-09 07:19:53,2020-03-09 19:38:05,12.3033333333333,0.991174360628808,0.470052255826235,1,"2020_69",69,2020,12.0400002002716,2020-03-09,3,27.2474994659424,13.2450001239777,0,0,45.3000005856156
"23","2020-03-10 19:22:59 +1000",10,"Austrochaperina robusta","2020-03-10",2,"No visible water bodies","Rural","Tablelands (R)","QLD",4406,-17.25,145.25,2020-03-10 07:21:13,2020-03-10 19:38:34,12.2891666666667,2020-03-10 07:22:07,2020-03-10 19:39:19,12.2866666666667,0.996975754308816,0.517513696036668,1,"2020_70",70,2020,11.1300001144409,2020-03-10,3,25.6666666666667,15.1299997965495,0,0,9.26666674017906
