"","capture_time_in_zone","location_accuracy","species","date","number_of_sp_calling","water_body","habitat","lga_name","state","grid_id","grid_lat","grid_lng","record_sunrise","record_sunset","record_day_length","grid_sunrise","grid_sunset","grid_day_length","fraction","phase","present","year_day","day","year","mean_min_temp","Date","month","mean_max_temp","mean_vapour","mean_rainfall","rain_3_days","rain_10_days"
"1394","2018-03-23 21:26:35 +1000",65,"Cophixalus australis","2018-03-23",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2018-03-23 07:23:36,2018-03-23 19:28:30,12.0816666666667,2018-03-23 07:24:33,2018-03-23 19:29:27,12.0816666666667,0.318985034832058,0.191041907116785,0,"2018_82",82,2018,16.2533334096273,2018-03-23,3,21.4266668955485,12.2233333587646,0.100000001490116,0.100000001490116,3.06666670491298
"1395","2018-02-26 22:31:07 +1000",5,"Cophixalus australis","2018-02-26",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2018-02-26 07:17:50,2018-02-26 19:47:13,12.4897222222222,2018-02-26 07:18:48,2018-02-26 19:48:09,12.4891666666667,0.805844643125283,0.354754860672503,0,"2018_57",57,2018,15.9333333969116,2018-02-26,2,26.4299996693929,10.0833333333333,1.66666662693024,6.1666665871938,25.033333102862
"1396","2018-03-04 22:14:31 +1000",5,"Cophixalus australis","2018-03-04",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2018-03-04 07:19:35,2018-03-04 19:43:09,12.3927777777778,2018-03-04 07:20:32,2018-03-04 19:44:05,12.3925,0.946199586427497,0.574510301369265,0,"2018_63",63,2018,9.84666665395101,2018-03-04,3,24.6433327992757,13.8100001017253,0,0,11.8666665951411
"1397","2018-11-10 03:44:19 +1000",104.099998474121,"Cophixalus australis","2018-11-10",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2018-11-10 06:37:49,2018-11-10 19:28:48,12.8497222222222,2018-11-10 06:38:45,2018-11-10 19:29:40,12.8486111111111,0.0638821020368817,0.081334716374737,0,"2018_314",314,2018,12.5533336003621,2018-11-10,11,26.9133332570394,15.0300000508626,0.866666674613953,0.866666674613953,9.63333333780366
"1398","2018-11-11 19:33:23 +1000",6.17700004577637,"Cophixalus australis","2018-11-11",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2018-11-11 06:37:32,2018-11-11 19:29:18,12.8627777777778,2018-11-11 06:38:28,2018-11-11 19:30:10,12.8616666666667,0.119678275656079,0.112441789488908,0,"2018_315",315,2018,13.7999998728434,2018-11-11,11,17.6799996693929,11.9366668065389,1.09999998410543,1.96666665871942,9.99999999254942
"1399","2019-02-05 21:47:31 +1000",21.7315816000676,"Cophixalus australis","2019-02-05",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2019-02-05 07:08:58,2019-02-05 19:57:35,12.8102777777778,2019-02-05 07:09:57,2019-02-05 19:58:30,12.8091666666667,0.000540415257179128,0.00740036349994311,0,"2019_36",36,2019,12.0599997838338,2019-02-05,2,28.1200002034505,15.3933334350586,0,0.66666667163372,0.66666667163372
"1400","2019-11-30 00:53:18 +1000",9.64799976348877,"Cophixalus australis","2019-11-30",1,"Small pond","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2019-11-30 06:36:01,2019-11-30 19:39:55,13.065,2019-11-30 06:36:57,2019-11-30 19:40:46,13.0636111111111,0.131526873718759,0.118133531246995,0,"2019_334",334,2019,11.9966669082642,2019-11-30,11,19.9099998474121,12.1233332951864,0,1.46666669845581,2.06666670242953
"1401","2020-01-09 20:49:23 +1000",11.3629999160767,"Cophixalus australis","2020-01-09",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2020-01-09 06:52:50,2020-01-09 19:58:52,13.1005555555556,2020-01-09 06:53:46,2020-01-09 19:59:44,13.0994444444444,0.959051785646986,0.435139980400987,0,"2020_9",9,2020,13.5533336003621,2020-01-09,1,25.6800003051758,10.2566665013631,0,0,0.633333352704767
"1402","2020-01-11 21:02:55 +1000",128.899993896484,"Cophixalus australis","2020-01-11",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2020-01-11 06:54:02,2020-01-11 19:59:13,13.0863888888889,2020-01-11 06:55:01,2020-01-11 20:00:08,13.0852777777778,0.999565265557045,0.506637333262979,0,"2020_11",11,2020,10.4666665395101,2020-01-11,1,32.0433336893717,11.3733332951864,0,0,0.633333352704767
"1403","2020-02-18 21:50:13 +1000",5,"Cophixalus australis","2020-02-18",1,"No visible water bodies","Backyard/Suburbia","Tablelands (R)","QLD",4406,-17.25,145.25,2020-02-18 07:14:48,2020-02-18 19:52:14,12.6238888888889,2020-02-18 07:15:46,2020-02-18 19:53:09,12.6230555555556,0.286612007395735,0.820175359351769,0,"2020_49",49,2020,11.8733332951864,2020-02-18,2,26.3333326975505,12.4933334986369,0,0,5.96666665871942
